"year","avg_incident_rate","trend_change"
1990,"128","No Change"
1991,"130","Increasing"
1992,"131","Increasing"
1993,"133","Increasing"
1994,"137","Increasing"
1995,"139","Increasing"
1996,"141","Increasing"
1997,"145","Increasing"
1998,"146","Increasing"
1999,"147","Increasing"
2000,"147","No Change"
2001,"146","Decreasing"
2002,"148","Increasing"
2003,"145","Decreasing"
2004,"143","Decreasing"
2005,"140","Decreasing"
2006,"137","Decreasing"
2007,"132","Decreasing"
2008,"129","Decreasing"
2009,"125","Decreasing"
2010,"121","Decreasing"
2011,"118","Decreasing"
2012,"115","Decreasing"
2013,"113","Decreasing"
