"country_name","start_prevalence","end_prevalence","decline","percent_decline"
"Montserrat","21.00","0.00","21.00","100.00"
"Tokelau","82.00","0.00","82.00","100.00"
"Bermuda","4.50","0.36","4.14","92.00"
"Bhutan","1762.00","196.00","1566.00","88.88"
"United Arab Emirates","22.00","2.70","19.30","87.73"
"Wallis and Futuna Islands","138.00","17.00","121.00","87.68"
"Andorra","62.00","8.20","53.80","86.77"
"Azerbaijan","746.00","105.00","641.00","85.92"
"Slovenia","50.00","9.20","40.80","81.60"
"New Caledonia","124.00","23.00","101.00","81.45"
