"country_name","avg_rate_of_incidence"
"Namibia","994.33"
"Lesotho","878.42"
"Swaziland","835.67"
"Central African Republic","834.13"
"Botswana","718.58"
"South Africa","650.00"
"Zambia","634.29"
"Djibouti","619.63"
"Zimbabwe","612.67"
"Cambodia","526.17"
"Mozambique","503.79"
"Timor-Leste","498.00"
"Gabon","439.71"
"Azerbaijan","420.83"
"Bhutan","403.38"
"Kiribati","401.88"
"Myanmar","398.67"
"Uganda","391.88"
"Democratic People's Republic of Korea","388.25"
"Malawi","362.00"
"Philippines","361.46"
"Ethiopia","357.13"
"Tuvalu","341.17"
"Papua New Guinea","338.42"
"Congo","332.33"
"Democratic Republic of the Congo","326.88"
"Lao People's Democratic Republic","322.92"
"Guinea-Bissau","321.58"
"Nigeria","316.13"
"Sierra Leone","298.88"
"Madagascar","293.50"
"Côte d'Ivoire","291.63"
"Somalia","285.42"
"Pakistan","275.67"
"Micronesia (Federated States of)","272.75"
"Mongolia","265.83"
"Kenya","260.29"
"Angola","259.58"
"Haiti","251.21"
"Liberia","250.71"
"Cameroon","250.29"
"Kazakhstan","247.50"
"Mauritania","243.54"
"Burundi","225.25"
"Bangladesh","224.92"
"Guinea","220.63"
"United Republic of Tanzania","212.21"
"Marshall Islands","211.25"
"Georgia","209.67"
"India","206.33"
"Indonesia","199.21"
"Niger","197.75"
"Viet Nam","192.38"
"Greenland","191.13"
"Afghanistan","189.13"
"Peru","182.92"
"Solomon Islands","182.00"
"Bolivia","179.96"
"Kyrgyzstan","178.71"
"Gambia","169.50"
"Nepal","162.29"
"Cabo Verde","158.46"
"Tajikistan","158.08"
"Eritrea","153.00"
"Romania","152.83"
"Turkmenistan","149.50"
"South Sudan","146.00"
"Senegal","145.13"
"Thailand","143.08"
"Sudan","141.04"
"Chad","139.67"
"Republic of Moldova","138.75"
"Ghana","131.29"
"Morocco","120.25"
"Sao Tome and Principe","111.88"
"Russian Federation","107.08"
"Equatorial Guinea","106.17"
"Ecuador","104.79"
"China","104.53"
"Guyana","102.79"
"Republic of Korea","102.46"
"Ukraine","99.63"
"Yemen","99.54"
"Northern Mariana Islands","99.08"
"Vanuatu","97.58"
"Dominican Republic","97.58"
"Uzbekistan","91.50"
"Palau","90.67"
"Honduras","90.42"
"Rwanda","90.21"
"Latvia","88.67"
"Benin","86.58"
"Lithuania","82.13"
"Algeria","80.29"
"Malaysia","78.92"
"Bosnia and Herzegovina","77.13"
"Maldives","75.08"
"Mali","72.33"
"Burkina Faso","70.33"
"Suriname","69.92"
"Belarus","69.13"
"Brunei Darussalam","68.33"
"Togo","67.08"
"Guatemala","67.00"
"Sri Lanka","66.00"
"Wallis and Futuna Islands","63.23"
"Brazil","60.08"
"Nicaragua","57.75"
"Fiji","56.58"
"Nauru","54.58"
"Panama","54.58"
"Armenia","54.25"
"Paraguay","50.75"
"Guam","50.17"
"Bulgaria","49.92"
"Iraq","49.42"
"Singapore","49.08"
"Qatar","47.50"
"Portugal","46.92"
"Serbia","46.29"
"Belize","44.42"
"New Caledonia","43.46"
"Estonia","43.29"
"Colombia","42.00"
"Comoros","40.08"
"Libya","40.00"
"Argentina","39.38"
"El Salvador","38.71"
"Croatia","37.58"
"Turkey","36.71"
"The Former Yugoslav Republic of Macedonia","34.50"
"Syrian Arab Republic","34.42"
"Poland","34.13"
"Venezuela (Bolivarian Republic of)","34.13"
"Niue","33.79"
"French Polynesia","33.33"
"Japan","32.04"
"Mexico","31.96"
"Turks and Caicos Islands","31.70"
"Hungary","31.67"
"Kuwait","27.88"
"Tunisia","27.38"
"Iran","26.08"
"Tonga","26.04"
"Bahrain","25.59"
"Chile","25.54"
"Saint Vincent and the Grenadines","25.54"
"Egypt","25.04"
"Uruguay","24.29"
"Mauritius","24.08"
"Montenegro","23.78"
"Samoa","23.50"
"Seychelles","22.85"
"Anguilla","22.42"
"Spain","21.71"
"Slovakia","21.54"
"Albania","21.29"
"Andorra","21.15"
"Slovenia","21.12"
"Bahamas","20.87"
"Lebanon","19.88"
"Costa Rica","19.08"
"Trinidad","17.33"
"Saudi Arabia","17.04"
"Tokelau","16.92"
"Oman","15.75"
"Aruba","14.95"
"Austria","14.86"
"Czech Republic","14.59"
"Cuba","13.76"
"France","13.35"
"Ireland","13.27"
"United Kingdom","13.13"
"Belgium","13.07"
"Saint Lucia","12.48"
"Dominica","11.63"
"Germany","11.61"
"Switzerland","10.82"
"Finland","10.63"
"Cook Islands","10.43"
"Montserrat","10.31"
"New Zealand","9.83"
"Luxembourg","9.40"
"American Samoa","9.20"
"Netherlands","9.20"
"Jordan","8.94"
"Denmark","8.86"
"British Virgin Islands","8.53"
"Italy","8.28"
"West Bank and Gaza Strip","8.00"
"Israel","7.96"
"Greece","7.62"
"United Arab Emirates","7.53"
"US Virgin Islands","7.40"
"Malta","7.20"
"Saint Kitts and Nevis","7.07"
"United States of America","7.00"
"Norway","6.91"
"Jamaica","6.56"
"Sweden","6.51"
"Canada","6.46"
"Australia","6.34"
"Cayman Islands","5.67"
"Netherlands Antilles","5.29"
"Sint Maarten (Dutch part)","5.28"
"Antigua and Barbuda","5.04"
"Iceland","4.86"
"Cyprus","4.84"
"Puerto Rico","4.82"
"Grenada","4.33"
"Bermuda","3.87"
"San Marino","3.38"
"Barbados","2.61"
"Monaco","2.10"
"Curaçao","1.70"
"Bonaire, Saint Eustatius and Saba","1.58"
