"country_name","total_tbdeaths"
"Nigeria","1389700"
"South Africa","1200280"
"India","896570"
"Uganda","724400"
"Mozambique","619900"
"Zimbabwe","576700"
"Ethiopia","438900"
"Zambia","334200"
"Malawi","282800"
"United Republic of Tanzania","247500"
"Kenya","240100"
"Central African Republic","219100"
"Cameroon","195250"
"Côte d'Ivoire","186000"
"Myanmar","162590"
"Democratic Republic of the Congo","157700"
"Thailand","143720"
"Lesotho","110867"
"Namibia","97200"
"Brazil","62300"
"Botswana","61300"
"Ghana","59180"
"Haiti","54480"
"Swaziland","53111"
"Cambodia","41480"
"Congo","40420"
"Viet Nam","34810"
"Chad","33190"
"Indonesia","32712"
"Guinea","32640"
"China","27820"
"Russian Federation","25934"
"Ukraine","25858"
"Burundi","25172"
"Burkina Faso","22360"
"Angola","21257"
"Dominican Republic","19360"
"Liberia","19285"
"Niger","18820"
"Rwanda","17160"
"Guinea-Bissau","17138"
"Sudan","14437"
"Peru","14200"
"Madagascar","13120"
"Ecuador","11840"
"Senegal","9550"
"Papua New Guinea","9408"
"Sierra Leone","9336"
"Colombia","9042"
"Mexico","8640"
"Lao People's Democratic Republic","7937"
"Gabon","7872"
"Somalia","7471"
"Benin","7399"
"Malaysia","7368"
"Togo","7206"
"Pakistan","6482"
"Venezuela (Bolivarian Republic of)","6479"
"Honduras","5645"
"Uzbekistan","5513"
"Bolivia","5400"
"Guatemala","5296"
"Nepal","5094"
"Mali","4477"
"United States of America","3956"
"France","3334"
"Eritrea","3130"
"Djibouti","2519"
"Kazakhstan","2482"
"Romania","2416"
"Spain","2415"
"Tajikistan","2162"
"Portugal","2108"
"Argentina","1807"
"Gambia","1547"
"Azerbaijan","1476"
"Bangladesh","1464"
"Yemen","1228"
"Philippines","1222"
"Panama","1187"
"Mauritania","1079"
"Afghanistan","1068"
"Morocco","935"
"Republic of Moldova","840"
"Latvia","713"
"Iran","679"
"Guyana","652"
"Belarus","640"
"Democratic People's Republic of Korea","631"
"Paraguay","575"
"El Salvador","573"
"Suriname","490"
"Algeria","487"
"Italy","453"
"Equatorial Guinea","429"
"Cabo Verde","423"
"Kyrgyzstan","406"
"Canada","394"
"Poland","354"
"Egypt","342"
"Georgia","309"
"Mauritius","302"
"Jamaica","286"
"Uruguay","277"
"Lithuania","245"
"Costa Rica","224"
"Nicaragua","215"
"Chile","207"
"Japan","197"
"Trinidad","186"
"United Kingdom","182"
"Germany","170"
"Netherlands","134"
"Armenia","131"
"Republic of Korea","125"
"Belgium","124"
"Sao Tome and Principe","120"
"Singapore","120"
"Australia","110"
"Estonia","103"
"Turkey","101"
"Bahamas","92"
"Sri Lanka","65"
"Belize","58"
"Fiji","50"
"Cuba","49"
"Switzerland","43"
"Denmark","26"
"Israel","23"
"Oman","21"
"Austria","19"
"Serbia","18"
"Sweden","17"
"Greece","16"
"West Bank and Gaza Strip","12"
"Tunisia","8"
"Mongolia","6"
"Bulgaria","5"
"Montenegro","4"
"New Zealand","4"
"Hungary","3"
"Timor-Leste","0"
"Bonaire, Saint Eustatius and Saba","0"
"French Polynesia","0"
"Marshall Islands","0"
"Saint Kitts and Nevis","0"
"Bermuda","0"
"Saint Vincent and the Grenadines","0"
"US Virgin Islands","0"
"Barbados","0"
"Anguilla","0"
"Palau","0"
"The Former Yugoslav Republic of Macedonia","0"
"Micronesia (Federated States of)","0"
"Niue","0"
"Montserrat","0"
"Solomon Islands","0"
"Bhutan","0"
"Monaco","0"
"United Arab Emirates","0"
"Iraq","0"
"Netherlands Antilles","0"
"Bahrain","0"
"Vanuatu","0"
"Seychelles","0"
"Northern Mariana Islands","0"
"Libya","0"
"British Virgin Islands","0"
"Norway","0"
"Dominica","0"
"Wallis and Futuna Islands","0"
"Qatar","0"
"New Caledonia","0"
"Sint Maarten (Dutch part)","0"
"Saint Lucia","0"
"Comoros","0"
"Guam","0"
"Cyprus","0"
"Tuvalu","0"
"Bosnia and Herzegovina","0"
"Kuwait","0"
"Iceland","0"
"Nauru","0"
"Maldives","0"
"South Sudan","0"
"Slovakia","0"
"Tokelau","0"
"Turkmenistan","0"
"Croatia","0"
"Grenada","0"
"Cayman Islands","0"
"Aruba","0"
"Saudi Arabia","0"
"Albania","0"
"Malta","0"
"Finland","0"
"San Marino","0"
"American Samoa","0"
"Curaçao","0"
"Ireland","0"
"Tonga","0"
"Syrian Arab Republic","0"
"Jordan","0"
"Greenland","0"
"Lebanon","0"
"Turks and Caicos Islands","0"
"Czech Republic","0"
"Luxembourg","0"
"Kiribati","0"
"Samoa","0"
"Antigua and Barbuda","0"
"Brunei Darussalam","0"
"Puerto Rico","0"
"Andorra","0"
"Slovenia","0"
"Cook Islands","0"
