"country_name","avg_prevalence"
"Cambodia","1360.4"
"Central African Republic","1108.4"
"Namibia","1040.6"
"Azerbaijan","967.8"
"Lao People's Democratic Republic","927.8"
"Djibouti","845.1"
"Gabon","767.1"
"Bhutan","765.4"
"Timor-Leste","743.8"
"Myanmar","730.7"
"Philippines","727.8"
"Lesotho","701.5"
"Botswana","664.1"
"Mozambique","647.0"
"South Africa","612.4"
"Swaziland","589.6"
"Madagascar","581.8"
"Somalia","577.5"
"Democratic Republic of the Congo","577.0"
"Kiribati","572.4"
"Papua New Guinea","558.7"
"Tuvalu","558.3"
"Sierra Leone","555.0"
"Zambia","496.1"
"Democratic People's Republic of Korea","485.4"
"Micronesia (Federated States of)","478.5"
"Mongolia","468.6"
"Guinea-Bissau","463.8"
"Bangladesh","461.8"
"Pakistan","446.7"
"Mauritania","433.0"
"Côte d'Ivoire","424.8"
"Kazakhstan","423.5"
"Zimbabwe","407.5"
"Guinea","404.8"
"Niger","403.4"
"Georgia","400.2"
"Burundi","399.4"
"Indonesia","394.8"
"Angola","388.6"
"Liberia","388.6"
"India","386.5"
"Afghanistan","376.4"
"Ethiopia","374.0"
"Congo","373.4"
"Cameroon","363.0"
"Uganda","357.8"
"Viet Nam","352.5"
"Haiti","347.8"
"Solomon Islands","342.5"
"Nigeria","330.5"
"Tajikistan","305.5"
"Marshall Islands","300.6"
"Cabo Verde","295.0"
"Kyrgyzstan","289.2"
"Malawi","288.3"
"Bolivia","279.6"
"Turkmenistan","276.4"
"South Sudan","270.3"
"Kenya","259.0"
"Sudan","257.6"
"Greenland","249.6"
"Nepal","247.7"
"Peru","242.4"
"Romania","238.1"
"Senegal","227.9"
"Eritrea","227.4"
"Chad","220.8"
"United Republic of Tanzania","219.0"
"Thailand","213.2"
"Republic of Moldova","208.7"
"Ghana","202.0"
"Republic of Korea","180.3"
"Ecuador","175.8"
"Sao Tome and Principe","172.2"
"Yemen","165.2"
"Morocco","162.9"
"Russian Federation","160.5"
"Guyana","153.6"
"Palau","147.3"
"Vanuatu","146.8"
"Benin","145.8"
"China","142.0"
"Ukraine","141.2"
"Dominican Republic","140.2"
"Uzbekistan","135.8"
"Northern Mariana Islands","134.2"
"Latvia","132.8"
"Suriname","131.7"
"Gambia","129.3"
"Algeria","124.4"
"Guatemala","124.2"
"Honduras","122.9"
"Equatorial Guinea","122.5"
"Mali","118.4"
"Bosnia and Herzegovina","117.0"
"Burkina Faso","116.3"
"Maldives","115.2"
"Lithuania","114.5"
"Fiji","109.3"
"Sri Lanka","107.5"
"Wallis and Futuna Islands","107.2"
"Malaysia","103.3"
"Rwanda","101.7"
"Belarus","99.4"
"Togo","96.0"
"Brunei Darussalam","88.7"
"Niue","85.8"
"Nauru","79.5"
"Brazil","78.6"
"Armenia","76.9"
"Nicaragua","73.4"
"Serbia","72.5"
"Bulgaria","70.8"
"Paraguay","69.8"
"Guam","69.5"
"Comoros","69.0"
"Iraq","68.8"
"Panama","67.8"
"Colombia","63.6"
"Singapore","62.3"
"Qatar","61.4"
"Libya","60.4"
"New Caledonia","56.5"
"Argentina","55.5"
"Portugal","54.9"
"Mexico","54.0"
"Estonia","53.5"
"Anguilla","52.4"
"Belize","51.8"
"Saint Vincent and the Grenadines","51.3"
"Turks and Caicos Islands","51.2"
"El Salvador","48.3"
"Croatia","48.3"
"Venezuela (Bolivarian Republic of)","46.5"
"Syrian Arab Republic","46.0"
"The Former Yugoslav Republic of Macedonia","44.1"
"French Polynesia","44.1"
"Poland","43.5"
"Egypt","43.3"
"Hungary","41.5"
"Mauritius","41.2"
"Japan","41.0"
"Iran","39.8"
"Turkey","39.0"
"Tonga","38.0"
"Kuwait","36.8"
"Tunisia","35.2"
"Samoa","35.0"
"Bahrain","34.3"
"Seychelles","34.0"
"Chile","32.5"
"Tokelau","32.4"
"Montenegro","30.0"
"Andorra","29.9"
"Albania","29.3"
"Uruguay","29.3"
"Costa Rica","28.9"
"Slovakia","27.9"
"Slovenia","27.2"
"Spain","26.5"
"Lebanon","23.4"
"Montserrat","23.0"
"Cuba","22.8"
"Saudi Arabia","21.8"
"Bahamas","20.8"
"Aruba","20.3"
"Oman","20.0"
"Trinidad","19.2"
"Austria","19.1"
"Cook Islands","19.1"
"Dominica","18.6"
"Czech Republic","18.6"
"Saint Lucia","17.9"
"France","17.1"
"Ireland","17.0"
"Belgium","16.4"
"United Kingdom","16.4"
"Germany","15.0"
"American Samoa","14.6"
"United Arab Emirates","13.9"
"Switzerland","13.7"
"Finland","13.5"
"Saint Kitts and Nevis","12.6"
"New Zealand","12.5"
"British Virgin Islands","12.5"
"Netherlands","11.8"
"Luxembourg","11.8"
"Jordan","11.4"
"Denmark","11.1"
"Italy","10.6"
"West Bank and Gaza Strip","10.0"
"Israel","10.0"
"Greece","9.8"
"US Virgin Islands","9.8"
"Cayman Islands","9.4"
"Malta","9.2"
"Norway","8.8"
"Antigua and Barbuda","8.7"
"United States of America","8.6"
"Jamaica","8.5"
"Sweden","8.3"
"Grenada","8.1"
"Australia","8.0"
"Canada","7.9"
"Netherlands Antilles","7.6"
"Bermuda","7.3"
"Sint Maarten (Dutch part)","6.7"
"Cyprus","6.5"
"Puerto Rico","6.4"
"San Marino","6.1"
"Iceland","6.0"
"Monaco","4.1"
"Barbados","3.1"
"Curaçao","2.2"
"Bonaire, Saint Eustatius and Saba","2.0"
