"country_name","avg_hiv_in_incident_tbpercent"
"Zimbabwe","74.92"
"Malawi","66.58"
"Zambia","66.50"
"Swaziland","62.10"
"Uganda","60.63"
"Lesotho","58.10"
"Botswana","58.08"
"Central African Republic","45.58"
"United Republic of Tanzania","45.54"
"Kenya","43.88"
"Namibia","43.46"
"Mozambique","43.35"
"South Africa","42.63"
"Congo","41.83"
"Rwanda","40.21"
"Bahamas","36.75"
"Cameroon","31.48"
"Côte d'Ivoire","30.58"
"Guinea-Bissau","28.88"
"Dominican Republic","27.15"
"Haiti","25.46"
"Jamaica","22.71"
"Ghana","22.39"
"Liberia","21.21"
"Chad","20.64"
"Burkina Faso","20.54"
"Togo","20.39"
"Trinidad","19.73"
"Nigeria","19.41"
"Portugal","16.46"
"Thailand","16.21"
"Barbados","15.56"
"Ethiopia","14.93"
"Suriname","14.70"
"Panama","14.38"
"Guinea","14.22"
"Honduras","14.13"
"Belize","13.98"
"Equatorial Guinea","13.91"
"Burundi","13.54"
"Guyana","13.24"
"Brazil","12.70"
"Benin","12.51"
"Sao Tome and Principe","12.15"
"Venezuela (Bolivarian Republic of)","11.66"
"Bermuda","11.18"
"Albania","11.18"
"Saudi Arabia","11.18"
"Cayman Islands","11.18"
"Grenada","11.18"
"Turkmenistan","11.18"
"Tokelau","11.18"
"Nauru","11.18"
"San Marino","11.18"
"American Samoa","11.18"
"Kuwait","11.18"
"Curaçao","11.18"
"Bosnia and Herzegovina","11.18"
"Tuvalu","11.18"
"Northern Mariana Islands","11.18"
"Cyprus","11.18"
"Seychelles","11.18"
"Saint Kitts and Nevis","11.18"
"French Polynesia","11.18"
"Solomon Islands","11.18"
"Montserrat","11.18"
"Niue","11.18"
"Bonaire, Saint Eustatius and Saba","11.18"
"Timor-Leste","11.18"
"Kiribati","11.18"
"Puerto Rico","11.18"
"Micronesia (Federated States of)","11.18"
"Brunei Darussalam","11.18"
"Cook Islands","11.18"
"West Bank and Gaza Strip","11.18"
"Palau","11.18"
"Marshall Islands","11.18"
"Andorra","11.18"
"Anguilla","11.18"
"Saint Vincent and the Grenadines","11.18"
"Aruba","11.18"
"Tonga","11.18"
"Greenland","11.18"
"Lebanon","11.18"
"Guam","11.18"
"Iraq","11.18"
"Comoros","11.18"
"Saint Lucia","11.18"
"Sint Maarten (Dutch part)","11.18"
"New Caledonia","11.18"
"Syrian Arab Republic","11.18"
"Jordan","11.18"
"Qatar","11.18"
"The Former Yugoslav Republic of Macedonia","11.18"
"Wallis and Futuna Islands","11.18"
"Turks and Caicos Islands","11.18"
"Dominica","11.18"
"British Virgin Islands","11.18"
"Libya","11.18"
"Vanuatu","11.18"
"Bahrain","11.18"
"Netherlands Antilles","11.18"
"Samoa","11.18"
"United Arab Emirates","11.18"
"US Virgin Islands","11.18"
"Antigua and Barbuda","11.18"
"Monaco","11.18"
"Gabon","10.50"
"Mauritius","10.23"
"Ecuador","10.04"
"France","9.51"
"Uruguay","9.09"
"Gambia","8.96"
"Democratic Republic of the Congo","8.65"
"Latvia","8.56"
"Spain","8.49"
"Djibouti","8.23"
"Eritrea","8.06"
"Senegal","7.80"
"Ukraine","7.64"
"China","7.54"
"Myanmar","7.38"
"Angola","7.37"
"Niger","7.37"
"Colombia","7.31"
"Serbia","7.19"
"El Salvador","7.17"
"Costa Rica","7.14"
"Malaysia","6.86"
"Mali","6.38"
"Canada","6.17"
"Iceland","6.17"
"Sierra Leone","6.04"
"Peru","6.00"
"United States of America","5.85"
"Guatemala","5.75"
"Papua New Guinea","5.69"
"Estonia","5.43"
"Cambodia","5.40"
"Cabo Verde","5.35"
"Mexico","4.53"
"Bolivia","4.38"
"India","4.20"
"Lao People's Democratic Republic","3.97"
"Paraguay","3.88"
"Viet Nam","3.35"
"Belgium","3.04"
"Netherlands","2.99"
"Uzbekistan","2.95"
"Sudan","2.81"
"Luxembourg","2.79"
"Italy","2.71"
"Australia","2.65"
"Russian Federation","2.55"
"Somalia","2.53"
"Argentina","2.42"
"Madagascar","2.25"
"Nepal","2.25"
"Republic of Moldova","2.25"
"Malta","2.24"
"Montenegro","2.14"
"Denmark","1.99"
"Singapore","1.97"
"Nicaragua","1.92"
"Israel","1.87"
"Oman","1.82"
"Mauritania","1.82"
"Lithuania","1.79"
"Tajikistan","1.77"
"Belarus","1.57"
"Chile","1.56"
"Switzerland","1.49"
"Romania","1.46"
"Armenia","1.28"
"Sweden","1.17"
"Fiji","1.09"
"Kazakhstan","1.09"
"New Zealand","1.05"
"Indonesia","0.91"
"Yemen","0.88"
"Cuba","0.83"
"Poland","0.82"
"Kyrgyzstan","0.78"
"Austria","0.73"
"Ireland","0.73"
"United Kingdom","0.71"
"Greece","0.70"
"Morocco","0.68"
"Iran","0.63"
"Georgia","0.63"
"Azerbaijan","0.55"
"Germany","0.54"
"Norway","0.35"
"Slovenia","0.33"
"Egypt","0.29"
"Finland","0.25"
"Maldives","0.23"
"Algeria","0.23"
"Afghanistan","0.20"
"South Sudan","0.18"
"Japan","0.18"
"Croatia","0.17"
"Turkey","0.14"
"Pakistan","0.13"
"Tunisia","0.12"
"Czech Republic","0.10"
"Hungary","0.10"
"Slovakia","0.09"
"Republic of Korea","0.08"
"Bulgaria","0.07"
"Sri Lanka","0.07"
"Democratic People's Republic of Korea","0.07"
"Philippines","0.05"
"Bangladesh","0.04"
"Bhutan","0.04"
"Mongolia","0.03"
