"country_name","avg_incidence","first_mortality","last_mortality","mortality_trend"
"Namibia","994.33","1600.00","1300.00","Declining"
"Lesotho","878.42","1100.00","960.00","Declining"
"Swaziland","835.67","510.00","1100.00","Increasing"
"Central African Republic","834.13","7800.00","2200.00","Declining"
"Botswana","718.58","1800.00","440.00","Declining"
"South Africa","650.00","19000.00","25000.00","Increasing"
"Zambia","634.29","6400.00","3600.00","Declining"
"Djibouti","619.63","640.00","870.00","Increasing"
"Zimbabwe","612.67","5500.00","5700.00","Increasing"
"Cambodia","526.17","19000.00","10000.00","Declining"
"Mozambique","503.79","16000.00","18000.00","Increasing"
"Timor-Leste","498.00","800.00","990.00","Increasing"
"Gabon","439.71","570.00","910.00","Increasing"
"Azerbaijan","420.83","820.00","360.00","Declining"
"Bhutan","403.38","1500.00","88.00","Declining"
"Kiribati","401.88","21.00","30.00","Increasing"
"Myanmar","398.67","65000.00","26000.00","Declining"
"Uganda","391.88","15000.00","4100.00","Declining"
"Democratic People's Republic of Korea","388.25","22000.00","6700.00","Declining"
"Malawi","362.00","3700.00","1500.00","Declining"
